registry_id,baseline_accuracy,fuzzyxai_accuracy,baseline_metric,baseline_value,fuzzyxai_metric,fuzzyxai_value,missed_critical_ruptures,false_auto_accept_rate,quantitative_comparison_available,pinned_baseline_required,status,note
hybrid_xiris,not_available,not_available,accuracy,not_available,safe_accuracy,not_available,N/A,N/A,false,true,real-output-compatible,No fake quantitative value is inserted; source metric must be pinned before comparison.
gd_anfis_shap,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,source-pending,No fake quantitative value is inserted; source metric must be pinned before comparison.
anza_lira,not_available,not_available,dice,not_available,safe_dice,not_available,N/A,N/A,false,true,fixture-certified,No fake quantitative value is inserted; source metric must be pinned before comparison.
beacon_xai,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,source-pending,No fake quantitative value is inserted; source metric must be pinned before comparison.
gis_integro,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,source-pending,No fake quantitative value is inserted; source metric must be pinned before comparison.
deep_neuro_fuzzy_kafn,not_available,not_available,f1,not_available,safe_f1,not_available,N/A,N/A,false,true,fixture-certified,No fake quantitative value is inserted; source metric must be pinned before comparison.
fan_multimodal,not_available,not_available,attention_consistency,not_available,safe_attention_consistency,not_available,N/A,N/A,false,true,fixture-certified,No fake quantitative value is inserted; source metric must be pinned before comparison.
kan_xai_2_system,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,fixture-certified,No fake quantitative value is inserted; source metric must be pinned before comparison.
trust_ade,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,fixture-certified,No fake quantitative value is inserted; source metric must be pinned before comparison.
synt_isic_timeshap,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,fixture-certified,No fake quantitative value is inserted; source metric must be pinned before comparison.
eaar_regularization,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,planned,No fake quantitative value is inserted; source metric must be pinned before comparison.
neutron_shap_reconstruction,not_available,not_available,not_available,not_available,not_available,not_available,N/A,N/A,false,true,planned,No fake quantitative value is inserted; source metric must be pinned before comparison.
