registry_id,title,role,source_repo,source_commit,source_artifact,fixture_path,adapter,evidence_level,status,chapter_role,claim_scope,fixture_exists,fixture_sha256,run_allowed,quantitative_claim_allowed
hybrid_xiris,HYBRID-XIRIS biometric pipeline,image / biometric / ophthalmology,https://github.com/lebedeffson/hybrid-xiris-biometric,external-not-pinned,results/metrics_openeds_test.json; results/final_model/best.pt; full_pipeline.py; hybrid_xiris.py,data/fixtures/hybrid_xiris_output.json,medical_image_to_explanation,repository-output-level,real-output-compatible,chapter5_scenario,"adapter compatibility and evidence routing, not local model retraining",False,,True,True
gd_anfis_shap,GD-ANFIS / SHAP scenario,neuro-fuzzy tabular explanation / SHAP alignment,source-not-provided:gd_anfis_shap,source-not-pinned,expected: training outputs; SHAP explanations; reproducibility notes,data/fixtures/gd_anfis_shap_output.json,tabular_to_explanation,source-pending,source-pending,chapter5_scenario,registered central chapter 5 scenario; excluded from quantitative claims until source repository is pinned,False,,False,False
anza_lira,ANZA-LIRA vessel segmentation,vessel segmentation / AFLC-family / medical imaging,https://github.com/fims9000/anza_lira,external-not-pinned,results/drive_real_comparison.md; models/azconv.py; train.py; drive_viewer.py,data/fixtures/anza_lira_output.json,medical_image_to_explanation,repository-output-level,fixture-certified,chapter5_scenario,"vessel-segmentation adapter route and report generation, not local model retraining",False,,True,False
beacon_xai,BEACON-XAI scenario,external XAI scenario / audit route,source-not-provided:beacon_xai,source-not-pinned,expected: BEACON-XAI outputs and report artifacts,data/fixtures/beacon_xai_output.json,report_to_explanation,source-pending,source-pending,chapter5_scenario,registered central chapter 5 scenario; excluded from quantitative claims until source repository is pinned,False,,False,False
gis_integro,GIS INTEGRO scenario,geospatial / external integration / report route,source-not-provided:gis_integro,source-not-pinned,expected: GIS INTEGRO outputs and report artifacts,data/fixtures/gis_integro_output.json,report_to_explanation,source-pending,source-pending,chapter5_scenario,registered central chapter 5 scenario; excluded from quantitative claims until source repository is pinned,False,,False,False
deep_neuro_fuzzy_kafn,Deep Neuro-Fuzzy / Routed KAFN,deep neuro-fuzzy / KAFN / RuFLEX-like scenario,https://github.com/lebedeffson/deep-neuro-fuzzy,external-not-pinned,docs/artifacts; docs/figures; REPRODUCIBILITY.md; Makefile,data/fixtures/deep_neuro_fuzzy_kafn_output.json,tabular_to_explanation,repository-output-level,fixture-certified,chapter5_scenario,fixed fixture adapter run with source provenance,False,,True,False
fan_multimodal,Fuzzy Attention Networks,fuzzy attention / concept explanation / multimodal,https://github.com/lebedeffson/FuzzyAttentionNetworks,external-not-pinned,demos/final_working_interface.py; src/fuzzy_attention.py; models; diagrams,data/fixtures/fan_multimodal_output.json,tabular_to_explanation,fixture-level,fixture-certified,chapter5_scenario,concept-level fuzzy attention scenario,False,,True,False
kan_xai_2_system,KAN-XAI 2.0 System,medical image explanation / KAN-XAI scenario,https://github.com/fims9000/KAN-XAI-2.0-System,external-not-pinned,web_interface_simple.py; models; src; templates,data/fixtures/kan_xai_2_system_output.json,medical_image_to_explanation,repository-output-level,fixture-certified,chapter5_scenario,"medical image explanation adapter route, not local model retraining",False,,True,False
trust_ade,Trust-ADE,trust assessment / risk observer extension,https://github.com/fims9000/Trust-ADE,external-not-pinned,trust_ade; evaluation; visualization; main.py,data/fixtures/trust_ade_output.json,trust_report_to_observer,repository-output-level,fixture-certified,chapter5_scenario,trust-assessment report route and observer compatibility,False,,True,False
synt_isic_timeshap,SYNT-ISIC / Time-SHAP,synthetic dermatology / temporal SHAP / causal validation,https://github.com/fims9000/SYNT_ISIC,external-not-pinned,main.py; core; diffusion; xai,data/fixtures/synt_isic_timeshap_output.json,temporal_xai_to_explanation,repository-output-level,fixture-certified,chapter5_scenario,"temporal explanation route and report generation, not local dermatology validation",False,,True,False
eaar_regularization,EAAR attribution regularization,attribution regularization / feature importance consistency,https://github.com/lebedeffson/eaar-regularization,external-not-pinned,planned report artifact,,planned,planned,planned,future_extension,"registered future adapter, excluded from quantitative claims",False,,False,False
neutron_shap_reconstruction,Bonner SHAP reconstruction,physical inverse problem / neutron spectra / SHAP regularization,https://github.com/lebedeffson/bonner-shap-reconstruction,external-not-pinned,planned report artifact,,planned,planned,planned,future_extension,"registered future adapter, excluded from quantitative claims",False,,False,False
