signal_id,trace_version,counterevidence,manual_required_baseline,adapter_status,fuzzyxai_action,adapter_reject_reason
beacon_083,missing,0.255,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_084,missing,0.29,false,adapter_rejected,audit_report,missing_trace
beacon_085,missing,0.325,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_086,missing,0.36,false,adapter_rejected,audit_report,missing_trace
beacon_087,missing,0.395,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_088,missing,0.43,false,adapter_rejected,audit_report,missing_trace
beacon_089,missing,0.465,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_090,missing,0.5,false,adapter_rejected,audit_report,missing_trace
beacon_091,missing,0.535,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_092,missing,0.57,false,adapter_rejected,audit_report,missing_trace
beacon_093,missing,0.605,false,adapter_rejected,audit_report,counterevidence_schema_gap
beacon_094,missing,0.64,false,adapter_rejected,audit_report,missing_trace
beacon_095,missing,0.675,false,adapter_rejected,not_run,counterevidence_schema_gap
beacon_096,missing,0.71,false,adapter_rejected,not_run,missing_trace
beacon_097,missing,0.745,false,adapter_rejected,not_run,counterevidence_schema_gap
beacon_098,missing,0.78,false,adapter_rejected,not_run,missing_trace
beacon_099,missing,0.815,false,adapter_rejected,not_run,counterevidence_schema_gap
