artifact_path,exists,size_bytes,schema_ok,code_version,status,notes
apps/fuzzyxai_studio.py,True,45433,True,,ok,
configs/studio_scenarios/beacon_xai.json,True,13107,True,,ok,
configs/studio_scenarios/gd_anfis_shap.json,True,13197,True,,ok,
configs/studio_scenarios/gis_integro.json,True,13335,True,,ok,
configs/studio_scenarios/hybrid_xiris.json,True,17505,True,,ok,
fuzzyxai/core/__init__.py,True,0,True,,ok,
fuzzyxai/core/adapters.py,True,556,True,,ok,
fuzzyxai/core/alignment.py,True,1615,True,,ok,
fuzzyxai/core/alignment_synthesis.py,True,5676,True,,ok,
fuzzyxai/core/composition.py,True,1931,True,,ok,
fuzzyxai/core/diagnostics.py,True,1002,True,,ok,
fuzzyxai/core/explain_plan.py,True,7652,True,,ok,
fuzzyxai/core/explanation_object.py,True,2490,True,,ok,
fuzzyxai/core/plan_builder.py,True,2940,True,,ok,
fuzzyxai/core/proof_package.py,True,7108,True,,ok,
fuzzyxai/core/reduction.py,True,1025,True,,ok,
fuzzyxai/core/risk_observer.py,True,1726,True,,ok,
fuzzyxai/core/scenario_engine.py,True,4438,True,,ok,
fuzzyxai/core/system_operator.py,True,1580,True,,ok,
fuzzyxai/core/trust_evaluator.py,True,2294,True,,ok,
patches/chapter4_5_doctoral_strengthening.md,True,9022,True,,ok,
reports/chapter5/studio_tables/table_5_2_explainplan.csv,True,1127,True,,ok,
reports/chapter5/studio_tables/table_5_3_membership.csv,True,364,True,,ok,
reports/chapter5/studio_tables/table_5_4_dE.csv,True,556,True,,ok,
reports/chapter5/studio_tables/table_5_5_run_summary.csv,True,165,True,,ok,
reports/chapter5/studio_tables/table_5_6_risk_decomposition.csv,True,174,True,,ok,
reports/studio/hybrid_xiris_case_001.json,True,5301,True,,ok,
reports/studio/last_case.json,True,5301,True,,ok,
reports/studio_batch/hybrid_xiris_batch_cases.csv,True,48911,True,,ok,
reports/studio_batch/hybrid_xiris_batch_summary.json,True,382,True,,ok,
reports/studio_batch/hybrid_xiris_proof_package.json,True,6763,True,24a1797-dirty,ok,
visual_artifacts_latest.zip,True,1497436,True,,ok,
