registry_id,source_repo,adapter_called,output_type,has_explanation_object,has_diagnostic_state,chi_R,chi_Auto,rho,action,report_path,figure_path,status,claim_scope
hybrid_xiris,https://github.com/lebedeffson/hybrid-xiris-biometric,True,ExplanationArtifact + report,True,True,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/hybrid_xiris_action_report.md,figures/chapter5/hybrid_xiris_route.png,real-output-compatible,"adapter compatibility and evidence routing, not local model retraining"
gd_anfis_shap,source-not-provided:gd_anfis_shap,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/gd_anfis_shap_action_report.md,figures/chapter5/gd_anfis_shap_route.png,source-pending,контрольный маршрут (исполняемый артефакт); source-pending; качество исходной модели не заявляется
anza_lira,https://github.com/fims9000/anza_lira,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/anza_lira_action_report.md,figures/chapter5/anza_lira_route.png,fixture-certified,"vessel-segmentation adapter route and report generation, not local model retraining"
beacon_xai,https://github.com/fims9000/BeaconXAI,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/beacon_xai_action_report.md,figures/chapter5/beacon_xai_route.png,fixture-certified,executable BeaconXAI fixture adapter with pinned repo HEAD; no local model retraining or quantitative claim
gis_integro,source-not-provided:gis_integro,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/gis_integro_action_report.md,figures/chapter5/gis_integro_route.png,source-pending,контрольный маршрут (исполняемый GIS fixture через GD-ANFIS/SHAP-каналы); source-pending; качество исходной модели не заявляется
deep_neuro_fuzzy_kafn,https://github.com/lebedeffson/deep-neuro-fuzzy,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/deep_neuro_fuzzy_kafn_action_report.md,figures/chapter5/deep_neuro_fuzzy_kafn_route.png,fixture-certified,fixed fixture adapter run with source provenance
fan_multimodal,https://github.com/lebedeffson/FuzzyAttentionNetworks,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/fan_multimodal_action_report.md,figures/chapter5/fan_multimodal_route.png,fixture-certified,concept-level fuzzy attention scenario
kan_xai_2_system,https://github.com/fims9000/KAN-XAI-2.0-System,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/kan_xai_2_system_action_report.md,figures/chapter5/kan_xai_2_system_route.png,fixture-certified,"medical image explanation adapter route, not local model retraining"
trust_ade,https://github.com/fims9000/Trust-ADE,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/trust_ade_action_report.md,figures/chapter5/trust_ade_route.png,fixture-certified,trust-assessment report route and observer compatibility
synt_isic_timeshap,https://github.com/fims9000/SYNT_ISIC,True,ExplanationArtifact + report,True,False,N/A,N/A,N/A,audit_report,reports/chapter5/scenario_reports/synt_isic_timeshap_action_report.md,figures/chapter5/synt_isic_timeshap_route.png,fixture-certified,"temporal explanation route and report generation, not local dermatology validation"
eaar_regularization,https://github.com/lebedeffson/eaar-regularization,False,registered metadata only,False,False,N/A,N/A,N/A,not_run,reports/chapter5/scenario_reports/eaar_regularization_action_report.md,figures/chapter5/eaar_regularization_route.png,planned,"registered future adapter, excluded from quantitative claims"
neutron_shap_reconstruction,https://github.com/lebedeffson/bonner-shap-reconstruction,False,registered metadata only,False,False,N/A,N/A,N/A,not_run,reports/chapter5/scenario_reports/neutron_shap_reconstruction_action_report.md,figures/chapter5/neutron_shap_reconstruction_route.png,planned,"registered future adapter, excluded from quantitative claims"
